src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.10.10,52.66.194.42,46293,3478,17,2023-03-07 17:42:22,10080809.831619263,22.815627299960237,0.2975951386951335,0.198396759130089,0.0991983795650445,2,1,124,106,62.0,62.0,62.0,0.0,106.0,106.0,106.0,0.0,106,62,76.66666666666667,20.741798914805393,430.22222222222223,16,8,8,2,5040404.915809631,10000355.005264282,80454.82635498047,4959950.089454651,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,76.66666666666667,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,106.0,0,2,1,124,106
192.168.10.10,52.66.194.42,56474,3478,17,2023-03-07 17:42:22,10081075.191497803,22.81502673385254,0.2975873052241636,0.19839153681610905,0.09919576840805452,2,1,124,106,62.0,62.0,62.0,0.0,106.0,106.0,106.0,0.0,106,62,76.66666666666667,20.741798914805393,430.22222222222223,16,8,8,2,5040537.595748901,10000422.00088501,80653.19061279297,4959884.405136108,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,76.66666666666667,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,106.0,0,2,1,124,106
192.168.10.10,52.66.194.42,34611,3478,17,2023-03-07 17:42:22,10081218.004226685,22.814703531217106,0.2975830895376144,0.19838872635840962,0.09919436317920481,2,1,124,106,62.0,62.0,62.0,0.0,106.0,106.0,106.0,0.0,106,62,76.66666666666667,20.741798914805393,430.22222222222223,16,8,8,2,5040609.002113342,10000391.006469727,80826.99775695801,4959782.004356384,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,76.66666666666667,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,106.0,0,2,1,124,106
192.168.10.10,173.194.76.127,49333,19302,17,2023-03-07 17:42:22,10184831.857681274,19.44067440354166,0.29455567278093425,0.19637044852062283,0.09818522426031141,2,1,124,74,62.0,62.0,62.0,0.0,74.0,74.0,74.0,0.0,74,62,66.0,5.656854249492381,32.0,16,8,8,2,5092415.928840637,10000506.87789917,184324.9797821045,4908090.949058533,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,66.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,74.0,0,2,1,124,74
192.168.10.10,173.194.76.127,44996,19302,17,2023-03-07 17:42:22,10185190.916061401,19.439989061743216,0.29454528881429115,0.1963635258761941,0.09818176293809705,2,1,124,74,62.0,62.0,62.0,0.0,74.0,74.0,74.0,0.0,74,62,66.0,5.656854249492381,32.0,16,8,8,2,5092595.458030701,10000405.073165894,184785.8428955078,4907809.615135193,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,66.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,74.0,0,2,1,124,74
192.168.10.10,173.194.76.127,56474,19302,17,2023-03-07 17:42:22,10183778.047561646,19.442686110721763,0.294586153192754,0.1963907687951693,0.09819538439758466,2,1,124,74,62.0,62.0,62.0,0.0,74.0,74.0,74.0,0.0,74,62,66.0,5.656854249492381,32.0,16,8,8,2,5091889.023780823,10000434.160232544,183343.88732910156,4908545.136451721,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,66.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,74.0,0,2,1,124,74
192.168.10.10,173.194.76.127,42401,19302,17,2023-03-07 17:42:22,10176280.975341797,19.457009931209143,0.2948031807758961,0.1965354538505974,0.0982677269252987,2,1,124,74,62.0,62.0,62.0,0.0,74.0,74.0,74.0,0.0,74,62,66.0,5.656854249492381,32.0,16,8,8,2,5088140.487670898,10000448.942184448,175832.03315734863,4912308.45451355,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,66.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,74.0,0,2,1,124,74
192.168.10.10,173.194.76.127,55977,19302,17,2023-03-07 17:42:22,10175009.01222229,19.459442223801577,0.2948400336939633,0.19656002246264218,0.09828001123132109,2,1,124,74,62.0,62.0,62.0,0.0,74.0,74.0,74.0,0.0,74,62,66.0,5.656854249492381,32.0,16,8,8,2,5087504.506111145,10000445.127487183,174563.88473510742,4912940.621376038,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,66.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,74.0,0,2,1,124,74
192.168.10.10,173.194.76.127,46293,19302,17,2023-03-07 17:42:22,10182805.061340332,19.444543896035054,0.29461430145507655,0.19640953430338437,0.09820476715169218,2,1,124,74,62.0,62.0,62.0,0.0,74.0,74.0,74.0,0.0,74,62,66.0,5.656854249492381,32.0,16,8,8,2,5091402.530670166,10000412.940979004,182392.12036132812,4909010.410308838,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,66.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,74.0,0,2,1,124,74
192.168.10.10,173.194.76.127,56109,19302,17,2023-03-07 17:42:22,10182790.994644165,19.4445707570883,0.2946147084407318,0.19640980562715454,0.09820490281357727,2,1,124,74,62.0,62.0,62.0,0.0,74.0,74.0,74.0,0.0,74,62,66.0,5.656854249492381,32.0,16,8,8,2,5091395.4973220825,10000423.908233643,182367.08641052246,4909028.41091156,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,66.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,74.0,0,2,1,124,74
